asdf_id,access_50k.none.mean,access_50k.none.max,access_50k.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,13.1553480831,74.0,2.0,ADM3,0,0,ETH,ETH-ADM3-50319843B73149203,Nefas Silk,ADM3
1,52.4801867928,285.0,6.0,ADM3,1,1,ETH,ETH-ADM3-50319843B66346631,Bole,ADM3
2,7.01789232278,9.0,5.0,ADM3,2,2,ETH,ETH-ADM3-50319843B66735816,Lideta,ADM3
3,10.2037846331,13.0,7.0,ADM3,3,3,ETH,ETH-ADM3-50319843B41892451,Kirkos,ADM3
4,20.055178237,89.0,8.0,ADM3,4,4,ETH,ETH-ADM3-50319843B77476617,Yeka,ADM3
5,4.61685541472,7.0,2.0,ADM3,5,5,ETH,ETH-ADM3-50319843B16837481,Addis Ketema,ADM3
6,7.34460967242,10.0,5.0,ADM3,6,6,ETH,ETH-ADM3-50319843B90407772,Arada,ADM3
7,9.20610828235,18.0,3.0,ADM3,7,7,ETH,ETH-ADM3-50319843B4369137,Gulele,ADM3
8,170.233279736,445.0,51.0,ADM3,8,8,ETH,ETH-ADM3-50319843B56297539,Adwa,ADM3
9,242.997115732,655.0,28.0,ADM3,9,9,ETH,ETH-ADM3-50319843B39392714,Ahferom,ADM3
10,229.793898644,759.0,63.0,ADM3,10,10,ETH,ETH-ADM3-50319843B79979158,Alaje,ADM3
11,222.589440048,537.0,125.0,ADM3,11,11,ETH,ETH-ADM3-50319843B56628051,Alamata,ADM3
12,333.5819616,729.0,147.0,ADM3,12,12,ETH,ETH-ADM3-50319843B89289947,Asgede Tsimbila,ADM3
13,222.441856734,724.0,36.0,ADM3,13,13,ETH,ETH-ADM3-50319843B56696877,Atsbi Wenberta,ADM3
14,157.874283721,427.0,14.0,ADM3,14,14,ETH,ETH-ADM3-50319843B26980147,Degua Temben,ADM3
15,123.20149492,388.0,0.0,ADM3,15,15,ETH,ETH-ADM3-50319843B91323981,Enderta,ADM3
16,487.548100691,898.0,71.0,ADM3,16,16,ETH,ETH-ADM3-50319843B66424639,Erob,ADM3
17,115.761562176,466.0,0.0,ADM3,17,17,ETH,ETH-ADM3-50319843B35785785,Ganta Afeshum,ADM3
18,166.155605548,790.0,5.0,ADM3,18,18,ETH,ETH-ADM3-50319843B6887943,Gulomekeda,ADM3
19,137.358826644,425.0,19.0,ADM3,19,19,ETH,ETH-ADM3-50319843B33614474,Hawzen,ADM3
20,261.735009841,772.0,14.0,ADM3,20,20,ETH,ETH-ADM3-50319843B91160987,Hintalo Wejirat,ADM3
21,753.969965647,1428.0,251.0,ADM3,21,21,ETH,ETH-ADM3-50319843B53771422,Kafta Humera,ADM3
