Region,District or Woredas,Zone,Remarks
Afar Region,Argobba Special Woreda,--,Independent district/woredas
Afar Region,Afambo,Zone 1 (Awsi Rasu),
Afar Region,Asayita,Zone 1 (Awsi Rasu),
Afar Region,Chifra,Zone 1 (Awsi Rasu),
Afar Region,Dubti,Zone 1 (Awsi Rasu),
Afar Region,Elidar,Zone 1 (Awsi Rasu),
Afar Region,Kori,Zone 1 (Awsi Rasu),
Afar Region,Mille,Zone 1 (Awsi Rasu),
Afar Region,Abala,Zone 2 (Kilbet Rasu),
Afar Region,Afdera,Zone 2 (Kilbet Rasu),
Afar Region,Berhale,Zone 2 (Kilbet Rasu),
Afar Region,Dallol,Zone 2 (Kilbet Rasu),
Afar Region,Erebti,Zone 2 (Kilbet Rasu),
Afar Region,Koneba,Zone 2 (Kilbet Rasu),
Afar Region,Megale,Zone 2 (Kilbet Rasu),
Afar Region,Amibara,Zone 3 (Gabi Rasu),
Afar Region,Awash Fentale,Zone 3 (Gabi Rasu),
Afar Region,Bure Mudaytu,Zone 3 (Gabi Rasu),
Afar Region,Dulecha,Zone 3 (Gabi Rasu),
Afar Region,Gewane,Zone 3 (Gabi Rasu),
Afar Region,Aura,Zone 4 (Fantena Rasu),
Afar Region,Ewa,Zone 4 (Fantena Rasu),
Afar Region,Gulina,Zone 4 (Fantena Rasu),
Afar Region,Teru,Zone 4 (Fantena Rasu),
Afar Region,Yalo,Zone 4 (Fantena Rasu),
Afar Region,Dalifage (formerly known as Artuma),Zone 5 (Hari Rasu),
Afar Region,Dewe,Zone 5 (Hari Rasu),
Afar Region,Hadele Ele (formerly known as Fursi),Zone 5 (Hari Rasu),
Afar Region,Simurobi Gele'alo,Zone 5 (Hari Rasu),
Afar Region,Telalak,Zone 5 (Hari Rasu),
Amhara Region,Achefer,--,Defunct district/woredas
Amhara Region,Angolalla Terana Asagirt,--,Defunct district/woredas
Amhara Region,Artuma Fursina Jile,--,Defunct district/woredas
Amhara Region,Banja,--,Defunct district/woredas
Amhara Region,Belessa,--,Defunct district/woredas
Amhara Region,Bure Wemberma,--,Defunct district/woredas
Amhara Region,Chefe Golana Dewerahmedo,--,Defunct district/woredas
Amhara Region,Dawuntna Delant,--,Defunct district/woredas
Amhara Region,Gera Midirna Keya Gebriel,--,Defunct district/woredas
