date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2022-09-15,Addis Ababa,AA ZONE1,Addis Ababa,9.024325,38.749226,non-food,Exchange rate,USD/LCU,actual,Retail,ETB,52.52,0.9992
2022-09-15,Addis Ababa,AA ZONE1,Addis Ababa,9.024325,38.749226,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,ETB,90.0,1.7122
2022-09-15,Afar,ZONE1,Asayta,11.563611,41.439444,cereals and tubers,Maize (white),100 KG,actual,Retail,ETB,3500.0,66.587
2022-09-15,Afar,ZONE1,Asayta,11.563611,41.439444,cereals and tubers,Pasta,KG,actual,Retail,ETB,90.0,1.7122
2022-09-15,Afar,ZONE1,Asayta,11.563611,41.439444,cereals and tubers,Rice,KG,actual,Retail,ETB,70.0,1.3317
2022-09-15,Afar,ZONE1,Asayta,11.563611,41.439444,cereals and tubers,Teff (white),100 KG,actual,Retail,ETB,6300.0,119.8565
2022-09-15,Afar,ZONE1,Asayta,11.563611,41.439444,cereals and tubers,Wheat (white),100 KG,actual,Retail,ETB,4400.0,83.7093
2022-09-15,Afar,ZONE1,Asayta,11.563611,41.439444,"meat, fish and eggs",Livestock (Goat),Head,actual,Retail,ETB,2750.0,52.3183
2022-09-15,Afar,ZONE1,Asayta,11.563611,41.439444,"meat, fish and eggs",Livestock (Sheep),Head,actual,Retail,ETB,2225.0,42.3303
2022-09-15,Afar,ZONE1,Asayta,11.563611,41.439444,"meat, fish and eggs",Livestock (camel),Head,actual,Retail,ETB,35000.0,665.8695
2022-09-15,Afar,ZONE1,Asayta,11.563611,41.439444,"meat, fish and eggs",Livestock (cattle),Head,actual,Retail,ETB,20225.0,384.7775
2022-09-15,Afar,ZONE1,Asayta,11.563611,41.439444,miscellaneous food,Sugar,KG,actual,Retail,ETB,80.0,1.522
2022-09-15,Afar,ZONE1,Asayta,11.563611,41.439444,oil and fats,Oil (palm),L,actual,Retail,ETB,200.0,3.805
2022-09-15,Afar,ZONE1,Asayta,11.563611,41.439444,vegetables and fruits,Garlic,KG,actual,Retail,ETB,200.0,3.805
2022-09-15,Afar,ZONE1,Asayta,11.563611,41.439444,vegetables and fruits,Onions,KG,actual,Retail,ETB,50.0,0.9512
2022-09-15,Afar,ZONE1,Asayta,11.563611,41.439444,vegetables and fruits,Tomatoes,KG,actual,Retail,ETB,100.0,1.9025
2022-09-15,Afar,ZONE3,Awash arba,9.130721446,40.16469611,cereals and tubers,Maize (white),100 KG,actual,Retail,ETB,3400.0,64.6845
2022-09-15,Afar,ZONE3,Awash arba,9.130721446,40.16469611,cereals and tubers,Wheat (white),100 KG,actual,Retail,ETB,5400.0,102.7342
2022-09-15,Afar,ZONE3,Awash arba,9.130721446,40.16469611,"meat, fish and eggs",Livestock (Goat),Head,actual,Retail,ETB,3900.0,74.1969
2022-09-15,Afar,ZONE3,Awash arba,9.130721446,40.16469611,"meat, fish and eggs",Livestock (Sheep),Head,actual,Retail,ETB,4600.0,87.5143
2022-09-15,Afar,ZONE3,Awash arba,9.130721446,40.16469611,miscellaneous food,Sugar,KG,actual,Retail,ETB,80.0,1.522
2022-09-15,Afar,ZONE3,Awash arba,9.130721446,40.16469611,non-food,Wage (casual labour),Day,actual,Retail,ETB,300.0,5.7075
2022-09-15,Afar,ZONE3,Awash arba,9.130721446,40.16469611,oil and fats,Oil (palm),L,actual,Retail,ETB,200.0,3.805
2022-09-15,Afar,ZONE3,Awash arba,9.130721446,40.16469611,pulses and nuts,Lentils,100 KG,actual,Retail,ETB,12500.0,237.8105
2022-09-15,Afar,ZONE3,Awash arba,9.130721446,40.16469611,vegetables and fruits,Onions,KG,actual,Retail,ETB,50.0,0.9512
2022-09-15,Afar,ZONE3,Werer,9.666664,40.333332,cereals and tubers,Maize (white),100 KG,actual,Retail,ETB,3500.0,66.587
2022-09-15,Afar,ZONE3,Werer,9.666664,40.333332,cereals and tubers,Wheat (white),100 KG,actual,Retail,ETB,5200.0,98.9292
2022-09-15,Afar,ZONE3,Werer,9.666664,40.333332,"meat, fish and eggs",Livestock (Goat),Head,actual,Retail,ETB,3800.0,72.2944
