event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ETH10323,"04 August 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"OLF: Oromo Liberation Front (Shane Splinter Faction)",,2,12,,231,"Eastern Africa",Ethiopia,Oromia,"East Wellega",Kiremu,Kiremu,9.95,36.8667,1,"Addis Maleda",National,"On 4 August 2023, and for the second day, ENDF clashed with OLF Shane in Kiremu town, Kiremu woreda (East Wellega, Oromia). Casualties unknown.",0,,1691421654
ETH10338,"04 August 2023",2023,1,"Political violence","Violence against civilians",Attack,"Police Forces of Ethiopia (2018-) Federal Police",,1,"Civilians (Ethiopia)","NaMA: National Movement of Amhara; Government of Ethiopia (2018-)",7,17,"Civilian targeting",231,"Eastern Africa",Ethiopia,"Addis Ababa","Region 14",Lideta,"Addis Ababa",9.025,38.7469,1,"Borkena Ethiopian News",National,"On 4 August 2023, Federal Police arrested an opposition leader of NaMA and a member of the Ethiopian Parliament and chair of Standing Committee for Public Expenditures and Administration Control from his home in Addis Ababa, Lideta (Region 14, Addis Ababa). Some sources claim the police beat him during his capture. The reason is unknown, could be most likely related to the newly declared SOE.",0,,1691421654
ETH10342,"04 August 2023",2023,1,"Strategic developments","Strategic developments","Change to group/activity","Government of Ethiopia (2018-)",,1,,,0,10,,231,"Eastern Africa",Ethiopia,"Addis Ababa","Region 14",Lideta,"Addis Ababa",9.025,38.7469,3,"Al Ayn; AP; BBC News; Borkena Ethiopian News; Deutsche Welle; EMS; ESAT; GardaWorld; TIKVAH Ethiopia; VOA; Wazema Radio","Other-New media","Security measures: On 4 August 2023, Ethiopian Council of Ministers declared a State of Emergency (SoE) in the Amhara State to following days of armed clashes between the ENDF and Fano militia in several parts of the region (coded separately). The statement says, 'attacks of extremist armed groups' had reached a stage where it was no longer possible to control with regular law enforcement mechanisms', adding that the situation had 'endangered the constitutional order' and 'disrupted the people's overall economic and social activities'. Event coded to Addis Ababa, Lideta (Region 14, Addis Ababa).",0,,1691421654
ETH10346,"04 August 2023",2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Unidentified Armed Group (Ethiopia)",,3,,,0,30,,231,"Eastern Africa",Ethiopia,Amhara,"East Gojam","Debre Markos town","Debre Markos",10.35,37.7333,2,EMS,Other,"On 4 August 2023, an unidentified armed group fired mortar and heavy weapons in and around Debre Markos town (East Gojam, Amhara). No further information. Casualties unknown.",0,,1691421654
ETH10303,"03 August 2023",2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)","Police Forces of Ethiopia (2018-) Federal Police",1,13,,231,"Eastern Africa",Ethiopia,Amhara,"Central Gondar","Gonder town",Gonder,12.6,37.4667,1,EMS,Other,"On 3 August 2023, Fano militias and ENDF continued to clash in Maraki, Kebele 18, and Tederos and Fasil campus of Gondar University areas in Gonder town (Central Gondar, Amhara). The armed clash began on the evening of 2 August (coded separately). At least 20 people were killed, including an assistant professor who was giving the 12th-grade national exam at Gondar University and two federal police who were guarding the university, and an unidentified number of people, including students in Gondar University and a federal police officer, were injured. The number of fatalities split into two events. Over 16,000 students were unable to take the exam.",10,,1691421654
ETH10314,"03 August 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"Wag Hamra","Sekota town",Sekota,12.627,39.0343,2,"Deutsche Welle",International,"On 3 August 2023, ENDF clashed with Fano militias in Asketema, Gazgibla woreda (location not found and coded to admin center, Sekota, Sekota town, in Wag Hamra zone, Amhara). Casualties unknown.",0,,1691421654
ETH10322,"03 August 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"OLF: Oromo Liberation Front (Shane Splinter Faction)",,2,12,,231,"Eastern Africa",Ethiopia,Oromia,"East Wellega",Kiremu,Kiremu,9.95,36.8667,1,"Addis Maleda",National,"On 3 August 2023, in a clash that lasted for two days, ENDF clashed with OLF Shane in Kiremu town, Kiremu woreda (East Wellega, Oromia). Casualties unknown.",0,,1691421654
ETH10351,"03 August 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Ethiopia)",,5,"Police Forces of Ethiopia (2018-)",,1,15,,231,"Eastern Africa",Ethiopia,Amhara,"East Gojam","Debre Markos town","Debre Markos",10.35,37.7333,1,EMS,Other,"On 3 August 2023, rioters who opposed ENDF and the government's action in Amhara region and support Fano militias, looted the Police training center and public offices in Debre Markos town (East Gojam, Amhara) after Fano militias entered the town. Witnesses clearly stated that Fano militias were not involved in the looting. A day before this event, roads were closed (coded separately) and on 4 August 2023, heavy weapons were fired by an unidentified armed group in and around the town (coded separately).",0,"crowd size=no report",1691421654
ETH10302,"02 August 2023",2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)","Police Forces of Ethiopia (2018-) Federal Police",1,13,,231,"Eastern Africa",Ethiopia,Amhara,"Central Gondar","Gonder town",Gonder,12.6,37.4667,1,"Addis Maleda; BBC News; EMS",Other-National,"On 2 August 2023, Fano militias and ENDF clashed in Maraki, kebele 18, and Tederos and Fasil campus of Gondar University areas in Gonder town (Central Gondar, Amhara). The armed clash continued the next day (coded separately). At least 20 people were killed, including an assistant professor who was giving the 12th-grade national exam at Gondar University and two federal police who were guarding the university, and an unidentified number of people, including students in Gondar University and a federal police officer, were injured. The number of fatalities split into two events. Over 16,000 students were unable to take the exam.",10,,1691421654
ETH10309,"02 August 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"North Wello","Kobo town",Kobo,12.15,39.6333,2,"Wazema Radio","New media","On 2 August 2023, ENDF clashed with Fano militias around Kobo town, Kobo (North Wello, Amhara), forcing the closure of private and public businesses in the town. Casualties unknown.",0,,1691421654
ETH10310,"02 August 2023",2023,2,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"South Wello",Sayint,"Amara Sayint",11.2322,38.6716,1,"Deutsche Welle",International,"Around 2 August 2023 (week of), ENDF clashed with Fano militias in Amara Sayint town, Sayint woreda (South Wello, Amhara). Casualties unknown.",0,,1691421654
ETH10311,"02 August 2023",2023,2,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"South Wello",Wegde,Hurufa,10.6,38.7333,2,"Deutsche Welle",International,"Around 2 August 2023 (week of), ENDF clashed with Fano militias in Wegde woreda (in an unspecified location coded to Hurufa, Wegdi, South Wello, Amhara). Casualties unknown.",0,,1691421654
