event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ETH10534,2023-09-01,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)",,1,13,,231,"Eastern Africa",Ethiopia,Amhara,"South Gondar","Mekan Eyesuse","Mekane Yesus",11.6333,38.0666,2,"Deutsche Welle",International,"On 1 September 2023, Fano militias clashed with ENDF in unspecified location (coded to Mekan Eyesuse town, Mekane Yesus) in East Esite woreda (South Gondar, Amhara). Casualties unknown.",0,,1693863642
ETH10535,2023-09-01,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)",,1,13,,231,"Eastern Africa",Ethiopia,Amhara,"West Gojam","Adet town",Adet,11.2647,37.4915,1,"Deutsche Welle",International,"On 1 September 2023, Fano militias clashed with ENDF in Adet, in Adet town (West Gojam, Amhara). Casualties unknown.",0,,1693863642
ETH10531,2023-08-31,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)",,1,13,,231,"Eastern Africa",Ethiopia,Amhara,"East Gojam",Michakel,Amanuel,10.4430,37.5688,1,"Deutsche Welle",International,"On 31 August 2023, Fano militias clashed with ENDF in Amanuel, Michakel woreda (East Gojam, Amhara), resulting in one civilian being killed.",1,,1693863642
ETH10532,2023-08-31,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)",,1,13,,231,"Eastern Africa",Ethiopia,Amhara,"West Gojam","Dega Damot","Feres Bet",10.8499,37.6037,1,"Deutsche Welle",International,"On 31 August 2023, Fano militias clashed with ENDF in Feres Bet, Dega Damot woreda (West Gojam, Amhara). Casualties unknown.",0,,1693863642
ETH10533,2023-08-31,2023,1,"Political violence","Violence against civilians",Attack,"Fano Youth Militia",,3,"Civilians (Ethiopia)",,7,37,"Civilian targeting",231,"Eastern Africa",Ethiopia,Oromia,"Horo Gudru Wellega","Abe Dongoro","Abe Dongoro",9.6097,36.9331,2,"Oromiya Media Network",International,"On 31 August 2023, militias from Amhara region (assumed to be Fano militias) shot and killed a civilian in Tulu Moti kebele (a location coded to Abe Dongoro) in Abe Dongoro woreda (Horo Gudru Wellega, Oromia) and raided over 40 cattle.",1,,1693863642
ETH10525,2023-08-30,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)",,1,13,,231,"Eastern Africa",Ethiopia,Amhara,"South Wello",Wegde,"Mahidere Selam",10.5922,38.7282,1,"Undisclosed Source","Local partner-Other","On 30 August 2023, Fano militias clashed with ENDF in and around Mahidere Selam town, Wegde woreda (South Wello, Amhara), resulting in 4 people getting killed. No further information is available.",4,,1693863642
ETH10526,2023-08-30,2023,1,"Political violence","Violence against civilians",Attack,"Fano Youth Militia",,3,"Civilians (Ethiopia)",,7,37,"Civilian targeting",231,"Eastern Africa",Ethiopia,Oromia,"Horo Gudru Wellega","Abe Dongoro","Abe Dongoro",9.6097,36.9331,2,"Oromiya Media Network",International,"On 30 August 2023, militias from Amhara region (assumed to be Fano militias) shot and killed 2 civilians in Tulu Moti kebele (a location coded to Abe Dongoro) in Abe Dongoro woreda (Horo Gudru Wellega, Oromia).",2,,1693863642
ETH10527,2023-08-30,2023,2,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"OLF: Oromo Liberation Front (Shane Splinter Faction)",,2,12,,231,"Eastern Africa",Ethiopia,Oromia,"West Hararge",Mieso,Asabot,9.1861,40.6694,3,"Addis Maleda",National,"Around 30 August 2023 (as reported), ENDF announced it carried out a military operation against OLF Shane in unspecified location 'around Oromia-Somali region borders' (coded to Asabot, Mieso, West Hararge, Oromia), in an operation that aimed to 'free the main high way free from attacks by the armed group'. Casualties unknown.",0,,1693863642
ETH10528,2023-08-30,2023,2,"Political violence","Violence against civilians",Attack,"Police Forces of Ethiopia (2018-)",,1,"Civilians (Ethiopia)",,7,17,"Civilian targeting",231,"Eastern Africa",Ethiopia,Somali,Fafan,"Jigjiga town",Jijiga,9.3500,42.8000,1,ESAT,International,"Around 30 August 2023 (as reported), following the rape and killing of a 12-year-old girl in Jigjiga town (Jijiga, Fafan, Somali), security forces beat up and arrested an unidentified number of non-Somali residents of the town.",0,,1693863642
ETH10529,2023-08-30,2023,1,"Political violence","Violence against civilians",Attack,"Police Forces of Ethiopia (2018-)","Former TPLF: Tigray People's Liberation Front",1,"Civilians (Ethiopia)","Former TPLF: Tigray People's Liberation Front",7,17,"Civilian targeting",231,"Eastern Africa",Ethiopia,Tigray,"Mekelle Tigray",Mekelle,Mekele,13.5000,39.4667,1,ESAT,International,"On 30 August 2023, security forces, coded as police, attacked and severely injured a former members of TPLF forces in Mekele (Mekelle Tigray, Tigry). The group had staged a demonstrations in protest of the way they were released without any benefits to reintegrate into normal life and accused the local officials of stealing their benefits earlier. One other demonstrator was arrested by security forces.",0,,1693863642
