Location,QuadKey,Url,Size
Ethiopia,122312131,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122312131/part-00138-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,2.4KB
Ethiopia,122312133,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122312133/part-00044-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,461.7KB
Ethiopia,122312223,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122312223/part-00150-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,165.6KB
Ethiopia,122312232,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122312232/part-00156-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,136.5KB
Ethiopia,122312330,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122312330/part-00044-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,2.1MB
Ethiopia,122312331,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122312331/part-00046-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,2.6KB
Ethiopia,122312332,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122312332/part-00181-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,8.0MB
Ethiopia,122312333,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122312333/part-00090-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,281.8KB
Ethiopia,122313022,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122313022/part-00158-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,797.5KB
Ethiopia,122313023,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122313023/part-00159-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,39.3KB
