IncidentDate,Time,MGRS,Latitude,Longitude,Adm2,Adm0,Explosion?,ExplosionType,Attacks?,IncidentType,GroupInitiating,Targets,IncidentCategory,Description,DeathCount,InjuredCount,CivilianInjuries?,Within5km?,Source,Adm1,ConflictOrCrimeOriented
10/19/2024,,37PCN0121445014,11.257016,37.179042,Gerchech,Amhara,Yes,,Yes,Drone Strike,ENDF,Unclear,Explosive/Remote Violence,"On october 18,2024 BBC Amharic reported that Over 100 people have been killed in the South Mecha Woreda, North Gojjam Zone, from drone strikes and attacks allegedly carried out by government forces since early October. Witnesses claim the strikes, which hit the town of Gerchech, reportedly killed children and the elderly, with some victims denied burial rights.",100,0,No,No,BBC Amharic,North Gojjam,Conflict oriented
10/16/2024,,37PEL5480032405,9.339319,39.499041,Deres/Kebelle 14,Amhara,Yes,,Yes,Drone Strike,ENDF,Unclear,Explosive/Remote Violence,"On October 16, a drone strike was conducted by the federal government in an area known as Deres in Kebele 04, Berehet Woreda, North Shewa Zone, resulting in significant casualties, including civilian losses.",Unknown,Unknown,Yes,No,,North Shewa,Conflict oriented
10/15/2024,,37PGL5768709826,9.127873,41.344652,,Oromia,No,,Yes,Armed Clash,GOE security forces,local Charity organaization,Crime,"On October 15, government security forces allegedly took action against a local charity organization working on education in Malka Belo Woreda, East Hararghe, while the staff of the charity was distributing exercise books to low-income students in Tokuma Jalala Woreda. The CEO of the organization was reportedly severely wounded by the Woreda Peace and Security Officer during the incident.",0,0,No,No,,East Hararghe,Crime oriented
10/15/2024,,37PEN6926030315,11.128986,39.634268,Dessie,Amhara,No,,Yes,Crime/Killing,Unidentified,Judge,Explosive/Remote Violence,"On October 14 a judge in Dessie, Amhara Region, was killed when a bomb planted in his car detonated, according to regional police. The victim, 35-year-old Judge Mulugeta Kebede, was targeted while driving home late at night. As of the latest reports, no group has claimed responsibility for the attack.",1,0,No,No,Regional Police,South Wollo,Crime oriented
10/15/2024,,37PDK3205067058,8.748095,38.382225,Golele,Oromia,No,,Yes,Armed Clash,OLA & ENDF,,Crime,"On October 15, a clash occurred between OLA and government security forces around 11:00 AM local time in Golele Kebele, Tole Woreda, Southwest Shewa. Later that night, the OLA members were reported to have been robbing the community throughout the night.",0,0,No,No,,South west Shewa,Conflict oriented
10/14/2024,,37PCN1381452136,11.322082,37.294046,Birakat,Amhara,Yes,,Yes,Drone Strike,ENDF,,Explosive/Remote Violence,"On October 14, two airstrikes were conducted by the government, including a drone strike in the Biti area near Birakat town in North Mecha Woreda and another airstrike in the Ezibisit area of South Achefer Woreda, North Gojjam Zone. Both strikes caused significant casualties, including civilians.",0,0,No,No,,North Gojjam,Conflict oriented
10/8/2024,,37PCK3600832315,8.431514,37.510412,,Oromia,No,,Yes,Armed Clash,ENDF & OLA,Civilians,Crime,"On October 08/2024 At least six civilians were killed in Begi, Qondala, and Sayo woredas of West Wollega and Qelem Wollega zones in Oromia region this week, as clashes between government troops and the rebel Oromo Liberation Army (OLA) intensified. According to reports from VOA, the government forces allegedly targeted civilians, accusing them of collaborating with the rebel group.",6,0,No,No,,Qellem wollega,conflict oriented
10/5/2024,,37PCM0936281172,10.680343,37.257041,"Finoteselam, Jiga, Debre Elias",Amhara,No,,Yes,Kidnapping,ENDF & FANO,,Crime,"Heavy clashes between government security forces and Fano militia reportedly occurred in the West Gojjam Zone, particularly around Finote Selam, Jiga, and Debre Elias.",0,0,No,No,,West Gojjam,Conflict oriented
9/28/2024,,36PXR6794333802,9.349013,34.529277,Begi,Oromia,No,,Yes,Crime/Killing,GOE forces,Civilians,Crime,"Three civilians were reportedly killed in the Begi and Kondala Woredas of the West Wollega Zone, with families blaming government forces for the deaths. On September 22nd, government forces reportedly shot 22-year-old Abib Birhanu in Begi City.",3,0,No,No,,West Wollega,crime oriented
9/18/2024,,37PCQ5210754492,13.15333,37.898197,Debark,Amhara,No,,Yes,Armed Clash,ENDF & FANO,,Crime,"Nine people were reportedly killed in clashes between government forces and Fano militia in the towns of Debark and Dabat in the North Gondar Zone. The Debark Hospital reported treating 30 injured individuals, including children and fighters.",9,30,Yes,No,,North Gonder,Conflict orinted
9/18/2024,,37PCL5021850798,9.503365,37.63547,,Oromia,No,,Yes,Crime/Killing,UAG,Church family membes,Crime,"On September 26, 2024, VOA reported that in Oromia Region East Shewa zona, Lome woreada, biqa sint Machel church five family members has been killed by UAG.",5,0,No,No,VOA,East Shewa,Crime oriented
9/17/2024,,37PCP3257889525,12.565037,37.458921,Gonder,Amhara,No,,Yes,Armed Clash,GOE security forces & FANO,,Crime,"Reports indicate that armed clash erupted between government security forces and Fano in the Kebele 18, Ayer Tena, and Hidassie areas within Gondar City. Reportedly, the conflict has led to disruptions in transportation services and daily routines in the city.",0,0,No,No,,Central Gonder,conflict oriented
9/4/2024,,,12.59842,37.45108,Gonder,Amhara,No,,Yes,Kidnapping,UAG,Child,Crime,"On September 4, 2024, VOA Amharic In Gonder city the 2 years old child kidnaped and killed by UAG. In september 6 In Gonder Azezo Mariyam area reportedly 4 people has been kidnapped by UAG.",2,0,No,No,VOA Amharic,Central Gonder,Crime oriented
9/2/2024,,37PAQ9157233828,12.954572,36.157389,Metema,Amhara,No,,Yes,Armed Clash,ENDF & FANO,,Crime,"Reports indicate that After heavy fighting between ENDF and Fano militants, Fano fighters seized control of the Ethiopian town of Shahidi, near Metema. In response, authorities in Sudan?s eastern Al-Qadarif state closed the Galabat border crossing with Ethiopia. This closure has significantly impacted border trade and travel between the two countries",0,0,No,No,,West Gonder,conflict oriented
9/2/2024,,37PCP3184693421,12.600218,37.451969,Gonder,Amhara,No,,No,Kidnapping,Local Police,Suspected Individuals,Crime,"The Gondar City Police Commission announced the arrest of 31 individuals suspected of kidnapping in the city. Police arrest more than ten other suspects with court-issued search warrants, and 14 members of the city's security department were dismissed due to misconduct and under suspicion of criminal acts.",0,0,No,No,Gondar City Police,Central Gonder,crime oriented
8/29/2024,,37PDL2832795259,9.907533,38.346222,Tulu Milki,Oromia,No,,Yes,Kidnapping,UAG,Public bus,Crime,"August 29th, reports have emerged that passengers, along with the driver of a public bus, were abducted by an unknown armed group in between Gebre Guracha and Tulu Milki towns in the North Shewa Zone of the Oromia Region.",0,0,No,No,,North Shewa,crime oriented
8/22/2024,,37PFK2796594138,8.991704,40.164126,Awash,Afar,No,,Yes,Armed Clash,ENDF & UAG,,Crime,"Reports have emerged of a road closure on the Ethio-Djibouti Road near Awash Town in Zone 3 (Gebi Rasu) of the Afar Region due to an armed clash, allegedly involving government forces. The clash has disrupted vehicular movement on this critical transportation route.",0,0,No,No,,Zone 3,Unknown
8/21/2024,,37PDL6925085613,9.820814,38.719578,Selale,Oromia,No,,No,Protest,Residents,,Demonstration,"Over the past three weeks, Salale residents in the North Shewa Zone of Oromia took to the streets in an unusual demonstration, carrying symbolic items and calling on divine intervention to address the severe challenges they face. The residents, affected by prolonged instability and conflict in the region, performed this traditional ritual as a plea for peace and resolution to the hardships that have plagued their community for years.",0,0,No,No,,North Shewa,Unknown
8/20/2024,,37PEP6537707861,11.830321,39.600185,Woldiya,Amhara,Yes,,Yes,Armed Clash,UAG,Unclear,Explosive/Remote Violence,"Multiple explosions, possibly from grenade attacks, in various locations within Woldiya City in the North Wollo Zone. The explosions reportedly occurred in the Menehariya, Gondar Ber Square, and Adago areas. An unconfirmed number of people have sustained injuries as a result of these incidents.",0,Unknown,No,No,,Woldiya,Unknown
8/15/2024,,37PCN2406381372,11.586905,37.38643,Bahir Dar,Amhara,Yes,,Yes,Armed Clash,UAG,Unclear,Explosive/Remote Violence,"Reports indicated multiple explosions, potentially from grenade attacks, in Bahir Dar City. The explosions occurred in the Kebele 4 area, specifically in front of the Commercial Bank of Ethiopia's main branch and near the former leadership training center within Bahir Dar City.",0,0,No,No,,Bahirdar,Unknown
8/8/2024,,37PCN2408082324,11.595512,37.386535,Bahir Dar,Amhara,Yes,,Yes,Armed Clash,UAG,,Explosive/Remote Violence,"Reports indicate that multiple explosions, possibly from grenade attacks, in various locations within Bahir Dar town. The incidents occurred at Guzara Bar, behind the Ethio Telecom office, also at Zand Megenagna Bezuhan Bars, situated in front of beale Egziabher church in kebele 14.",0,0,No,No,,Bahir Dar,Unknown
8/4/2024,,37PCN2408082324,11.595512,37.386535,Nifas Mewucha,Amhara,No,,Yes,Armed Clash,ENDF & FANO,,Crime,"Reports have emerged of a shooting exchange between government forces and Fano near the Terara Hotel area in Gonder city on August 4, 2024. The confrontation was brief but resulted in fatalities. Additionally, over the past few days, there have been reports of armed conflicts in various locations within the South Gondar Zone, including Ebinat, Fogera, Lay Gayint and Tach Gayint woredas. transportation service from Bahirdar to woldiya and Gonder reportedly halted.",0,0,No,No,,Gonder,Conflict oriented
8/3/2024,,37PCP9259010909,11.856808,38.013875,Debre Tabor,Amhara,No,,Yes,Armed Clash,UAG & GOE forces,,Crime,"On August 3rd, 2024, reports indicated an armed clashes between UAG and government forces in Debre Tabor Town of the South Gondar Zone. Shootouts continue in two neighborhoods, causing the town to come to a standstill. There are also reports of crossfire in Ambomeda of Libokemkem Woreda and increased movement of security forces in Addis Zemen town.",0,0,No,No,,South Gonder,Conflict oriented
7/27/2024,,37PCN0458451181,11.312949,37.20955,,Amhara,No,,Yes,Crime/Killing,FANO,Residents & GOE workers,Crime,"On July 27 BBC Amharic reported that in North Gojjam of the Amhara Region, Fano militants tortured and killed attendees of a government meeting in Bahir Dar. Fano forces captured sixteen individuals, including respected community members, during their return journey. Some of the captives were allegedly tortured, and some were killed. The incident sparked fear and mourning in the community, with many residents afraid to speak out due to the threat of further violence.",0,0,No,No,BBC Amharic,North Gojjam,Crime oriented
7/26/2024,,37PBN9718562705,11.416693,37.141112,,Amhara,No,,Yes,Crime/Killing,UAG,Unclear,Crime,"on July 26th DW Amharic reported that In Southern Mecha, Amhara region, assailants reportedly killed four individuals on July 23rd. The Amhara Regional Government stated that the assailants? identities and the motives behind the attacks remain unclear, with investigations underway",4,0,No,No,DW Amharic,North Gojjam,crime oriented
7/25/2024,,37NDH5616996286,7.203703,38.603,Shashemene,Oromia,No,,No,Arrests,Local security forces,Students,Crime,"On July 25 , over 15 students have been detained for nearly two months without court appearances in Shashamene amid allegations of connections to the Oromo Liberation Army (OLA). The students, mainly from the Borena Zone, have not been allowed to communicate with their families, and local officials have not provided evidence or court proceedings for their detention.",0,0,No,No,,West Arsi,crime oreinted
7/21/2024,,36PWP3251287522,8.029063,33.295055,Akobo,Gambella,No,,Yes,Intercommunal Violence,UAG,Unclear,Miscellaneous,"Reports have surfaced of an incident in Akobo Woreda on July 21st where students returning from a university entrance exam at Gambella University were ambushed by an armed group en route between Akobo and Kankan, resulting in casualities. Additionally, on July 20th a confirmed altercation took place in the Nguenyyiel refugee camp(known as Kule) located in Therfam, with in Itang special wored.",0,0,No,No,,Gambella,crime oriented
7/18/2024,,37PAP9724564825,12.331895,36.216388,,Amhara,No,,Yes,Armed Clash,FANO,Residents/Civilains,Crime,"BBC Amharic reported that In the Quara Woreda, Western Gondar Zone, Amhara Region, an attack resulted in significant casualties and displacement. Reports indicate that over 10,000 people were affected, with numerous homes destroyed and many residents killed. The attack primarily targeted local ""native"" residents, including children and the elderly. Authorities confirmed the involvement of both Fano fighters and local militias, with ongoing clashes exacerbating the situation.",0,0,No,No,BBC Amharic,Western Gonder,crime oriented
7/18/2024,,37PEP6060572541,12.415303,39.557591,Alamata,Contested areas,No,,No,Protest,Aremed forces,Unclear,Demonstration,"Ethiopian Insider reported that residents of Alamata claimed that armed forces entered the city, leading to protests on july 17th and 18th . Over 10,000 returnees from Mekhoni have arrived and protest in the area continued.",0,0,No,No,Ethiopian Insider,Alamata,Unknown
7/16/2024,,37PFK2804894230,8.992539,40.164887,Awash,Afar,No,,Yes,Crime/Killing,UAG,Civilians,Crime,"On july 17 th VOA Amharic reported two passengers were killed in an attack on a minibus taxi traveling to Addis Ababa in the city of Awash in the Afar Region. The Somali regional government spokesperson stated that the attack, which occurred last Saturday, was motivated by a personal vendetta",2,0,No,No,VOA Amharic,Awash,crime orinted
7/11/2024,,37PBQ3040002567,12.675811,36.517762,Genda wuha,Amhara,No,,No,Kidnapping,UAG,Civilians,Crime,"Reports indicate that on July 11th, at approximately 3 PM, 20 individuals were abducted in the Meka Locality near Genda Wuha town in the West Gondar Zone of the Amhara Region while traveling from Gonder to Genda Wuha.",0,0,No,No,,West Gonder,crime oriented
7/5/2024,,37PBQ1933911963,12.759721,36.415131,Ergoye,Amhara,No,,Yes,Kidnapping,UAG,NGO staffs,Crime,"July 5th, at approximately 2:30 pm, an Unidentified Armed Group (UAG) abducted three INGO staff members in Ergoye. The staff members were traveling from Awlala Refugee camp to Genda Wuha when the incident occured. A surviving staff member reported that the abductors took them to a forested area.",0,0,No,No,,West Gonder,crime oriented
7/3/2024,,37PEK2779645550,8.553973,39.252591,Adama,Oromia,No,,No,Protest,Protesters,Local police,Demonstration,"Sources reported that Conflict has been reported between local militia/police and residents of neighboring kebeles of Adama city. The cause of the conflict was house demolition activities by the regional government and the residents aggressively opposed the government actions. As a result, casualties reported in the area. the road from Adama to Assela was closed by the protesters.",0,0,No,No,,East Shewa,conflict oriented
6/28/2024,,37PDP0082099200,12.655395,38.086684,,Amhara,No,,Yes,Crime/Killing,GOE forces,Civilians,Crime,"On june 28th BBC Amharic reported that Government forces are accused of killing over 27 civilians in North Shewa and North Gojjam zones, including farmers and market-goers, between last Monday and Wednesday. The attacks, allegedly in search of Fano militia members, have caused significant fear and disruption in the community.",27,0,No,No,BBC Amharic,North Shewa/North Gojjam,crime oriented
6/25/2024,,37PEQ4970195147,13.524151,39.459309,Mekelle/ Adigrat,Tigray,No,,No,Protest,Women Advocates,Opposing gender based violence,Demonstration,"Reports indicate peaceful protests are taking place in Mekelle and Adigrat cities within the Tigray region. The protests are primarily led by women advocating for justice and women's rights. The demonstrators are urging the regional government to hold perpetrators accountable for recent incidents of gender-based violence, specifically citing the tragic case of Mahlet Teklay, who was abducted for several months and whose death sparked public outrage.",0,0,No,No,,"Mekelle, Adigrat",Unknown
6/24/2024,,36PXQ7482012345,8.250564,34.587192,Gambella,Gambella,No,,Yes,Intercommunal Violence,Aguak & Nuer ethic group,NGO worker,Miscellaneous,"Sources have reported an armed conflict between the Anuak and Nuer ethnic groups in Gambella city Gambella Region. The conflict began last night, and according to reports, an armed group attacked the residence of an NGO worker in the Jebjeb Hill area of Kebele 03 within Gambella City. Tension is high in the city, with random gunfire being heard. Movement within the city has been disrupted, and there has been noticeable mobilization of youth.",0,0,No,No,,Gambella,conflict oriented
