IncidentDate,Time,MGRS,Latitude,Longitude,Admin0,Admin1,Admin2,Explosion?,ExplosionType,Attacks?,IncidentType,GroupInitiating,Targets,IncidentCategory,Description,DeathCount,InjuredCount,CivilianInjuries?,Within5km?,Source,ConflictOrCrimeOriented,Notes
2024-11-30,,37PDK8556797229,9.0215,38.8687,Addis Ababa,,Semmit and Ayat areas,Yes,Bomb,Yes,Bomb,unknown,Civilians,Miscellaneous,"On November 30th, 2024 Reports of an alleged bomb explosion and related casualties in the Semmit and Ayat areas of Addis Ababa, which circulated widely on social media platforms like X (formerly Twitter), were dismissed by the Addis Ababa Police Commission. Police officials confirmed that the city remains peaceful, describing the rumors as baseless and originating from individuals or groups intending to spread misinformation, and warned of legal action against those spreading such false information while reassuring residents of the city's safety and normal operations.( source Tikvah Ethiopia:)",NO,0,No,No,Media/PLSO,Crime Oriented,
2024-11-29,,37NEJ5964937893,7.5799,39.5407,Oromia,,"Shirka Woreda, Arsi Zone,",No,,Yes,Armed attackers,OLA militants,Civilians,Miscellaneous,"On November 29th, 2024 Armed attackers reportedly killed nine individuals in the Shirka Woreda, Arsi Zone, Oromia Region, on Thursday. Victims were forcibly taken from their homes and executed near a river. Survivors alleged that ""OLA"" militants perpetrated the attack, possibly targeting them on religious grounds, as all victims were Orthodox Christians. The incident is part of a pattern of violence in the area, according to local communities who called for improved security measures.(source BBC Amharic: )",yes,0,No,No,Media/PLSO,Crime Oriented,
2024-11-29,,36NYP6586445832,7.6453,35.4099,South Ethiopia,,Sheka Zone,No,,Yes,Attacks,UAG,Civilians,Miscellaneous,"On November 29th, 2024 DW Amharic: Residents of the Andaracha Woreda in South Ethiopia's Sheka Zone reported rising insecurity following attacks by alleged armed groups crossing from the Gambella Region. In the past week, 20 individuals, including a kebele administrator, were reportedly killed. Local officials and federal security forces reported addressing the situation, but residents fear further violence.(source DW Amharic:)",yes,0,No,No,Media/PLSO,poltical and Crime Oriented,
2024-11-29,,37PCL0080577169,9.7397,37.1842,Oromia,,Wollega Zone/Horo Guduru,No,,No,Fire Accident,Unknown,Fincha Sugar Factory,Miscellaneous,"On November 29th, Wazema Radio: On November 28th, a fire reportedly destroyed over 60 hectares of sesame storage and machinery worth 40 million birr at the Fincha Sugar Factory in the Horo Guduru Wollega Zone, Oromia Region. Workers extinguished the blaze after six hours amid ongoing concerns about recurring arson in the area.(source Wazema Radio:)",NO,0,No,No,Media/PLSO,Accident Oriented,
2024-11-27,,37PDN2361049264,11.3002,38.3,Amhara,,South Gonder,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 26, 2024 Fano insurgents ambushed government security forces escorting prisoners from the Simada Woreda to the Andabet Woreda near the Mikirina and Sholekit areas in the Simada Woreda, South Gondar Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-27,,37PBL4087830271,9.3126,36.6411,Oromia,,East Wollega,No,,Yes,kidnappings and killings,OLA,Civilians,Crime,"November 27th, DW Amharic: Rising violence in East Wollega reportedly escalated to kidnappings and killings, with four young men recently abducted, two of whom were killed despite ransom payments. Survivors reported severe injuries, with one victim currently hospitalized. Residents described frequent attacks by armed groups, including ambushes and vehicle burning, further exacerbating insecurity in the region. Authorities have not yet provided a statement on the matter. Community elders in Wollega and other parts of Oromia called for peaceful dialogue to resolve ongoing conflicts between the government and opposition forces.",yes,Uk0wn,Yes,No,Media,poltical and Crime Oriented,
2024-11-27,,37PDN0044574394,11.5269,38.0871,Amhara,,conflict zones,No,,Yes,Staff Members abducted,UAG,Ethiopian Red Cross Society staff members,Crime,"On November 28th, Ahadu Radio: The Ethiopian Red Cross Society revealed that the whereabouts of staff members abducted in conflict zones remain unknown. Over 15 members and several ambulances were reportedly lost to attacks while delivering humanitarian aid. The organization condemned the targeting of humanitarian workers and emphasized that such actions violate international humanitarian law and ethics.",NO,0,No,No,Media/PLSO,Crime Oriented,
2024-11-27,,37PDK7248196860,9.0181,38.7496,Addis Ababa,,Addis Ababa,No,,No,Suicide,GOE,Community,Miscellaneous,"On November 25, 2024 The ongoing house demolitions/Corridor development is affecting many residents in the city as they are being told to leave their houses in two days putting them in a very difficult situation of getting houses to rent and without proper compensation.on November 25 ,one individual reportedly committed suicide following similar experience.(source TIKVAH-ETHIOPIA t.me/tikvahethiopia",yes,0,No,No,Media,Crime Oriented,
2024-11-26,9:30,37PBN7060125658,11.0802,36.9,Amhara,,Awi,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 26, 2024 Fano insurgents ambushed government forces in the Faggeta Lekoma Woreda, Agew Awi Zone, resulting in security personnel fatalities. Intense clashes between the two sides followed, lasting from 6:00 AM to 9:30 AM.",YES,YES,No,No,PLSO,Conflict Oriented,
2024-11-26,,37PCN5608183784,11.6102,37.6799,Amhara,,South Gonder,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 26, 2024 Fano insurgents ambushed government security forces between Deskuwa and Wof Argif in the Dera Woreda, South Gondar Zone, resulting in several security personnel fatalities.",YES,YES,No,No,PLSO,Conflict Oriented,
