"Please read a description of the CSV at this link: https://www.humanitarianoutcomes.org/sites/default/files/gdho_read_me.xlsx"
Id,Year,Name,"Abbreviated name",Type,"International or national",Website,"HQ location",Sub-region,"Year founded","Year closed","Countries of Operation (count)",Sector,"Religious or secular",Religion,"Red Cross Code of Conduct signatory","CHS member","InterAction member","ICVA member",Staff,"Staff Imputed",Natl,"Natl Imputed",Intl,"Intl Imputed","% Intl","OPE approx (USD)","OPE Imputed",OPE/staff,"OPE (inflation adjusted)","OPE (original currency)","HumExp approx (USD)","HumExp Imputed","HumExp (inflation adjusted)",Afghanistan,Albania,Algeria,"American Samoa",Andorra,Angola,Anguilla,Antarctica,"Antigua and Barbuda",Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bosnia and Herzegovina",Botswana,"Bouvet Island",Brazil,"British Indian Ocean Territory","Brunei Darussalam",Bulgaria,"Burkina Faso",Burundi,Cambodia,Cameroon,Canada,"Cape Verde","Cayman Islands","Central African Republic",Chad,Chile,China,"Christmas Island","Cocos (Keeling) Islands",Colombia,Comoros,Congo,"Cook Islands","Costa Rica","Cote D'Ivoire",Croatia,Cuba,Cyprus,"Czech Republic",Denmark,Djibouti,Dominica,"Dominican Republic","DR Congo",Ecuador,Egypt,"El Salvador","Equatorial Guinea",Eritrea,Estonia,Eswatini,Ethiopia,"Falkland Islands (Malvinas)","Faroe Islands",Fiji,Finland,France,"French Guiana","French Polynesia","French Southern Territories",Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,"Heard Island and Mcdonald Islands","Holy See (Vatican City State)",Honduras,"Hong Kong",Hungary,Iceland,India,Indonesia,"Iran, Islamic Republic of",Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Democratic People's Republic of","Korea, Republic of",Kuwait,Kyrgyzstan,"Lao People's Democratic Republic",Latvia,Lebanon,Lesotho,Liberia,"Libyan Arab Jamahiriya",Liechtenstein,Lithuania,Luxembourg,Macao,"Macedonia, the Former Yugoslav Republic of",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,"Marshall Islands",Martinique,Mauritania,Mauritius,Mayotte,Mexico,"Micronesia, Federated States of","Moldova, Republic of",Monaco,Mongolia,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,"Netherlands Antilles","New Caledonia","New Zealand",Nicaragua,Niger,Nigeria,Niue,"Norfolk Island","Northern Mariana Islands",Norway,"Occupied Palestinian Territories",Oman,Pakistan,Palau,Panama,"Papua New Guinea",Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,"Puerto Rico",Qatar,Reunion,Romania,"Russian Federation",Rwanda,"Saint Helena","Saint Kitts and Nevis","Saint Lucia","Saint Pierre and Miquelon","Saint Vincent and the Grenadines",Samoa,"San Marino","Sao Tome and Principe","Saudi Arabia",Senegal,"Serbia and Montenegro",Seychelles,"Sierra Leone",Singapore,Slovakia,Slovenia,"Solomon Islands",Somalia,"South Africa","South Georgia and the South Sandwich Islands","South Sudan",Spain,"Sri Lanka",Sudan,Suriname,"Svalbard and Jan Mayen",Sweden,Switzerland,"Syrian Arab Republic",Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,"Trinidad and Tobago",Tunisia,Turkey,Turkmenistan,"Turks and Caicos Islands",Tuvalu,Uganda,Ukraine,"United Arab Emirates","United Kingdom","United States","United States Minor Outlying Islands",Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,"Virgin Islands, British","Virgin Islands, U.s.","Wallis and Futuna","Western Sahara",Yemen,Zambia,Zimbabwe
32,2023,"ActionAid International",,INGO,International,http://www.actionaid.org,"South Africa","Southern Africa",1972,,45,,Secular,,1,,,,3123,A,,,,,,"$226,062,366",A,"$72,386.28","$226,062,366","Euro 210238000",,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,1,,,,,1,,,1,,1,,,,,1,,,,1,,,,,,,1,,,,1,,1,,,,,1,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,1,1,,,,,,,,1,,,,,1,1,,,,,,,,,,,1,,,1,1,,,,,,1,,,,,,1,1
40,2022,"Adventist Development and Relief Agency",ADRA,INGO,International,http://www.adra.org/,"United States","Northern America",1956,,74,,Religious,Christian,1,,,,,,,,,,,"$354,200,000",A,"$95,937.16","$368,721,353",,"$100,257,148",A,"$104,367,451",1,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,1,,,,1,1,1,1,,,,,1,,1,,,1,,,,1,1,,,,,,,,1,1,1,,,,,,,1,,,1,,,,,,,1,,,1,,,,,,,1,,,,1,,,1,,,,1,1,,,,,,1,,1,,1,,,1,,1,1,,,,1,,,,,,,1,1,,,1,,,,1,,,1,,1,,1,,,1,1,,,1,,,,,1,1,1,,,,,,,1,,,1,1,1,1,,,,,,,1,,1,,,,,,,,1,,1,1,,1,,1,1,,,1,,,,1,,,,,,,,,1,1,,1,,,,1,1,,,,1,,,,1,,1,,,,1,,,,,1,1,1
51,2022,"Africa Humanitarian Action",AHA,INGO,International,http://www.africahumanitarian.org,Ethiopia,"Eastern Africa",1994,,6,,Secular,,,,,1,1067,A,1053,A,14,A,1%,"$11,800,000",A,"$11,059.04","$12,283,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
5256,2022,"Africa Initiatives for Relief and Development",AIRD,INGO,,https://airdinternational.org,Uganda,"Eastern Africa",2006,,12,,,,,,,,,,,,,,,"$35,170,000",A,"$18,969.80","$36,611,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
13,2013,"Agency for Cooperation and Research in Development",ACORD,INGO,International,http://www.acordinternational.org,Kenya,"Eastern Africa",1976,2021,17,,Secular,,,,,,,,,,,,,"$13,679,032",A,"$17,537.22","$17,891,718","GBP 8481000",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
21,2023,"Agency for Technical Cooperation and Development/Agence d???Aide ?? la Coop??ration Technique et au D??veloppement",ACTED,INGO,International,http://www.acted.org/,France,Europe,1993,,43,,Secular,,1,1,,1,7819,A,7373,A,446,A,6%,"$648,254,045",A,"$82,907.54","$648,254,045","Euro 602876262",,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,1,,,,,1,,,1,,,1,,,,,,,,,,1,,,,,,,,,1,,,,1,1,1,,,,,,,,,1,1,,,,,1,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,1,,1,,1,,,,,,1,1,,,,1,1,,,,,,1,,1,,,,,,1,,
110,2023,ALIGHT,ARC,INGO,International,http://www.arcrelief.org,"United States","Northern America",1979,,13,,Secular,,,,,,,,,,,,,"$74,250,703",A,"$22,534.36","$74,250,703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,1,,,,1,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,
5513,2022,"Arche Nova Organization","Arche Nova",NNGO,,www.arche-nova.org,Germany,Europe,1993,,15,,,,,,,,,,,,,,,"$15,691,887",A,"$15,205.32","$16,335,217",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
265,2023,"Ayuda en Acci??n",,INGO,International,http://www.ayudaenaccion.org,Spain,Europe,1981,,22,,,,,,,,862,A,,,,,,"$38,581,339",A,"$44,757.93","$38,581,339","Euro 35880645",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,1,,,,,1,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,
310,2022,"Buddhist Tzu Chi Foundation",,INGO,International,http://www.tzuchi.org/,"United States","Northern America",1966,,128,,Religious,Buddhist,,,,,,,,,,,,"$39,265,000",A,"$38,047.48","$40,874,771",,"$34,838,000",A,"$36,266,275",1,1,,,,,,,,1,,,1,1,1,,,1,,,1,1,1,,1,1,1,1,,1,,1,,1,,1,,1,,,,,1,1,,,1,,,,1,1,1,,,1,1,,,1,1,1,,1,,,,1,1,,,1,,1,,,,,1,,1,1,,1,,,,,1,,1,,1,,1,1,1,,,1,1,1,1,1,1,1,,1,1,,1,,1,1,,,1,,1,1,1,,,,,1,,1,1,1,,1,,1,,1,,,1,1,,,1,,,1,1,1,,1,1,,,1,1,1,,,,1,1,,,1,,,1,1,1,1,,1,1,1,,,,1,1,,,1,,1,1,,1,,1,1,,1,1,,,1,,1,,1,1,1,,,,1,1,1,1,,1,1,1,,,1,,1,1,,,,1,1,,1,1,,,,,1,1,,,,,,1,
